evento,numero di run,numero di evento,giorno,mese,anno,ora,minuti,secondi,miliardesimi di secondo,pT 0,eta 0,phi 0,pT 1,eta 1,phi 1,pT 2,eta 2,phi 2,pT nu,phi nu,NN,prob,differenza numero di run
116,300863,64794982,4,6,2016,22,37,14,61456835,55.0766,-1.98094,2.64422,26.6148,-1.76373,2.18658,189.266,-2.25987,-0.0826235,137.2,-2.78403,0.571028,0.571028,63.0
117,300863,42105792,4,6,2016,22,30,51,986032015,18.5963,-1.05067,-1.78483,59.6425,0.19928,-0.68961,23.8701,-2.47117,2.02918,45.2577,2.47781,0.144532,0.144532,0.0
118,300863,206541689,4,6,2016,23,42,22,477375395,38.5057,2.42172,1.94842,27.1241,1.45003,2.26398,39.7614,1.92261,-1.9024,38.8395,-0.117145,0.491367,0.491367,0.0
119,300863,217338415,4,6,2016,23,45,29,503641540,25.6131,-1.21109,1.9451,48.174,-2.28088,0.988474,23.5092,-1.02943,-0.898098,50.049,-2.08684,0.345085,0.345085,0.0
120,300863,358446976,5,6,2016,0,35,54,730263705,305.184,0.446641,2.3575,21.8018,-1.81461,0.598549,275.815,0.0652163,-0.950876,155.135,-0.303105,9.81512e-11,9.81512e-11,0.0
121,300863,875877337,5,6,2016,3,25,11,914160410,32.2213,0.726634,0.503463,45.6763,-1.89203,1.5114,56.8475,0.958881,-2.86114,44.9958,-1.25502,0.000247086,0.000247086,0.0
122,300863,2359317402,5,6,2016,11,13,52,603767175,69.9367,0.281112,-2.06152,56.0321,-0.216144,1.75577,51.7588,-1.3152,0.809282,51.2915,-1.65432,0.00238797,0.00238797,0.0
123,300863,2594137049,5,6,2016,12,31,18,617194720,116.861,0.186234,-2.57428,53.6784,1.1285,1.29683,34.0835,-1.62717,-0.370187,53.8465,-0.25523,3.12331e-05,3.12331e-05,0.0
124,300863,1235931620,5,6,2016,5,28,50,350978240,82.4602,-1.82581,1.16112,91.5011,0.209656,0.45681,25.4742,1.40247,3.05533,168.276,-1.49815,0.00348471,0.00348471,0.0
244,300908,270730478,5,6,2016,23,21,0,773493215,142.114,-2.39566,-2.55152,108.004,-0.380048,-0.686371,120.739,0.306006,1.99435,63.7067,0.591224,6.30355e-12,6.30355e-12,45.0
291,301932,1454312065,12,6,2016,6,14,4,251385700,48.5937,-0.357018,-2.69703,17.3112,0.401882,1.67044,76.7212,-1.42157,0.418392,31.3446,-2.35596,0.167436,0.167436,1024.0
292,301932,1838023891,12,6,2016,8,4,36,213054985,124.015,-0.582485,0.0691344,133.314,0.0480882,-1.09408,19.8295,2.09177,-2.86703,84.6615,-0.78719,0.000255427,0.000255427,0.0
293,301932,4058679054,12,6,2016,18,49,46,900414200,35.0367,2.04722,-2.10906,63.564,-0.461833,-0.945566,96.5261,0.790104,1.69005,59.4951,-1.61053,0.000144485,0.000144485,0.0
